dataset,scale_a,scale_b,empirical_r_stored,empirical_r_repro,F_paper_stored,F_paper_repro
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Behavioral_Activation_System_Scale_behavioral_activation,-0.2271843742793568,-0.22718437427935662,-0.18821120420205906,-0.18821120420205933
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Behavioral_Activation_System_Scale_behavioral_activation_Drive,-0.3097655111777406,-0.30976551117774126,-0.23137233945612826,-0.23137233945612856
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Behavioral_Activation_System_Scale_behavioral_activation_Fun_Seeking,0.09189009662911667,0.09189009662911689,0.15842679775171853,0.1584267977517185
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Behavioral_Activation_System_Scale_behavioral_activation_Reward_Responsiveness,-0.27414775730316215,-0.2741477573031624,-0.2992690639467938,-0.2992690639467937
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Big_Five_Inventory_2_agreeableness,-0.19349121071352368,-0.1934912107135237,-0.1547868989396436,-0.15478689893964334
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Big_Five_Inventory_2_agreeableness_compassion,-0.20294937393596707,-0.20294937393596696,-0.14737475329209546,-0.1473747532920955
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Big_Five_Inventory_2_agreeableness_respectfulness,-0.24198416125432703,-0.24198416125432676,-0.17659018309005248,-0.1765901830900527
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Big_Five_Inventory_2_conscientiousness_productiveness,-0.4951912784355125,-0.49519127843551225,-0.48013687673026834,-0.48013687673026856
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Big_Five_Inventory_2_conscientiousness_responsibility,-0.5100006923137262,-0.5100006923137261,-0.3978050561643954,-0.3978050561643965
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Big_Five_Inventory_2_extraversion,-0.11958563979655029,-0.11958563979655026,-0.10977841423268486,-0.10977841423268482
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Big_Five_Inventory_2_extraversion_assertiveness,-0.13591509097958548,-0.13591509097958582,-0.15132373631131116,-0.15132373631131105
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Big_Five_Inventory_2_extraversion_sociability,-0.010503641914858823,-0.010503641914858827,-0.01625075857350014,-0.016250758573500133
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Big_Five_Inventory_2_neuroticism_emotional_volatility,0.1616018865915663,0.161601886591566,0.19431271906502057,0.19431271906502046
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Big_Five_Inventory_2_openness_aesthetic_sensitivity,-0.16146409476197043,-0.16146409476197016,-0.2514630288047608,-0.2514630288047606
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Big_Five_Inventory_2_openness_creative_imagination,-0.04960450805748049,-0.049604508057480484,-0.2523439616430057,-0.2523439616430057
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Buss_Perry_Aggression_Questionnaire_Aggression,0.14822962642560084,0.1482296264256008,0.13452816864485315,0.13452816864485315
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Buss_Perry_Aggression_Questionnaire_Aggression_Anger,0.16772432416951646,0.16772432416951621,0.17280089712072327,0.17280089712072327
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Buss_Perry_Aggression_Questionnaire_Aggression_Hostility,0.033354049878265075,0.0333540498782652,0.13792490923637657,0.13792490923637665
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Buss_Perry_Aggression_Questionnaire_Aggression_Physical_aggression,0.16433579129959908,0.16433579129959897,0.01792402552453087,0.017924025524530898
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Buss_Perry_Aggression_Questionnaire_Aggression_Verbal_aggression,0.07382698353100184,0.07382698353100164,0.06968576697409057,0.06968576697409051
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Emotion_Regulation_Questionnaire_Emotion_Regulation,-0.21961572666704676,-0.21961572666704668,-0.028409955848697394,-0.028409955848697387
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Emotion_Regulation_Questionnaire_Emotion_Regulation_Reappraisal,-0.2362412711806254,-0.2362412711806254,-0.024229323473137852,-0.02422932347313786
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Emotion_Regulation_Questionnaire_Emotion_Regulation_Suppression,-0.013806845563407442,-0.01380684556340752,-0.09791471478926304,-0.09791471478926313
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Hope_Scale_Hope,-0.4557093682381539,-0.45570936823815344,-0.4533017498911397,-0.45330174989114047
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Hope_Scale_Hope_Agency,-0.46197775288242965,-0.4619777528824292,-0.5456622341370316,-0.5456622341370317
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,Hope_Scale_Hope_Pathways,-0.34234523149467166,-0.3423452314946716,-0.1682800776811634,-0.16828007768116354
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_agreeableness,-0.28421007429274564,-0.2842100742927456,-0.14863464204220025,-0.1486346420422004
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_agreeableness_altruism,-0.2660277438711965,-0.2660277438711962,-0.20506198521048843,-0.20506198521048855
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_agreeableness_sympathy,-0.1271006194475423,-0.12710061944754245,-0.09741166515567946,-0.09741166515567956
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_agreeableness_trust,-0.06566811246514431,-0.06566811246514441,-0.14045774639837655,-0.14045774639837652
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_conscientiousness,-0.6706459400118373,-0.6706459400118382,-0.5346295817841578,-0.5346295817841574
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_conscientiousness_achievement_striving,-0.507803531418664,-0.5078035314186645,-0.3952617161556836,-0.3952617161556839
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_conscientiousness_dutifulness,-0.38892903386854055,-0.38892903386854005,-0.10087331258929737,-0.10087331258929721
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_conscientiousness_orderliness,-0.46380846979000767,-0.4638084697900076,-0.3581748049556433,-0.3581748049556439
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_conscientiousness_self_discipline,-0.401690190050518,-0.40169019005051787,-0.2959896810373599,-0.29598968103735945
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_conscientiousness_self_efficacy,-0.5150849207237499,-0.5150849207237506,-0.5735484431388707,-0.5735484431388709
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_extraversion,-0.18681767485481665,-0.18681767485481668,-0.17601199211134863,-0.17601199211134874
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_extraversion_activiity_level,-0.3001184234753085,-0.3001184234753092,-0.27177087746318906,-0.27177087746318923
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_extraversion_assertiveness,-0.2164545778000291,-0.2164545778000291,-0.3156625794499463,-0.31566257944994625
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_extraversion_cheerfulness,-0.14097549075505614,-0.14097549075505608,-0.06672254241561174,-0.06672254241561179
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_extraversion_excitement_seeking,0.022946045334248908,0.022946045334248988,0.033480164646341286,0.03348016464634129
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_extraversion_friendliness,-0.1403365143142517,-0.14033651431425173,-0.12459385199969761,-0.12459385199969764
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,International_Personality_Item_Pool_120_extraversion_gregariousness,-0.040573577648344857,-0.04057357764834466,-0.030626171755684748,-0.030626171755684738
