dataset,threshold,n_related_pairs,n_queries,median_rank,median_list_size,recall_at_5,chance_at_5,recall_at_10,chance_at_10,recall_at_25,chance_at_25,recall_at_50,chance_at_50,recall_at_100,chance_at_100
pilot_holdout,0.4,1652,110,13.0,106.0,0.24939467312348668,0.051601809611779834,0.42433414043583534,0.10320361922355967,0.7282082324455206,0.2580090480588992,0.9092009685230025,0.5160180961177984,0.9969733656174334,0.9511221636725796
pilot_holdout,0.3,3244,113,21.0,106.0,0.15135635018495686,0.05142264860573192,0.2762022194821208,0.10284529721146383,0.5662762022194822,0.2571132430286596,0.813810110974106,0.5142264860573192,0.9892108508014796,0.9504944530340478
validation_prolific,0.4,664,52,12.0,76.0,0.2635542168674699,0.06639312677743318,0.45331325301204817,0.13278625355486637,0.7831325301204819,0.33196563388716605,0.9427710843373494,0.6639312677743321,1.0,1.0
validation_prolific,0.3,1334,74,19.0,76.0,0.16491754122938532,0.06728428027966192,0.30359820089955025,0.13456856055932384,0.6191904047976012,0.3364214013983096,0.8860569715142429,0.6728428027966192,1.0,1.0
