dataset,regime,u,f,s,draw,n_corrupted,restored_frac,n_clean,wrongly_flipped_frac,restored_frac_unmarked,n_unmarked,restored_frac_falsely_marked,n_falsely_marked,restored_frac_inverted_scale,n_inverted_scale
pilot_holdout,full,0.0,0.03,0.03,41,29,0.3448275862068966,710,0.02112676056338028,,0,0.7142857142857143,14,0.0,15
pilot_holdout,full,0.0,0.03,0.03,42,53,0.22641509433962265,686,0.014577259475218658,,0,0.6923076923076923,13,0.07692307692307693,39
pilot_holdout,full,0.0,0.03,0.03,43,46,0.30434782608695654,693,0.01443001443001443,,0,0.7857142857142857,14,0.09375,32
pilot_holdout,full,0.0,0.03,0.03,44,34,0.3235294117647059,705,0.018439716312056736,,0,0.7857142857142857,14,0.0,20
pilot_holdout,full,0.0,0.03,0.03,45,43,0.27906976744186046,696,0.01867816091954023,,0,0.8461538461538461,13,0.0,29
pilot_holdout,full,0.0,0.03,0.03,46,34,0.35294117647058826,705,0.018439716312056736,,0,0.8571428571428571,14,0.0,20
pilot_holdout,full,0.0,0.03,0.03,47,36,0.2777777777777778,703,0.01849217638691323,,0,0.8333333333333334,12,0.0,22
pilot_holdout,full,0.0,0.03,0.03,48,27,0.4444444444444444,712,0.018258426966292134,,0,0.8571428571428571,14,0.0,13
pilot_holdout,full,0.0,0.03,0.03,49,34,0.2647058823529412,705,0.018439716312056736,,0,0.6428571428571429,14,0.0,20
pilot_holdout,full,0.1,0.03,0.03,0,63,0.38095238095238093,676,0.019230769230769232,0.5909090909090909,22,0.7692307692307693,13,0.0,23
pilot_holdout,full,0.1,0.03,0.03,1,59,0.3728813559322034,680,0.020588235294117647,0.4230769230769231,26,0.7857142857142857,14,0.0,19
pilot_holdout,full,0.1,0.03,0.03,2,51,0.45098039215686275,688,0.0188953488372093,0.76,25,0.2857142857142857,14,0.0,11
pilot_holdout,full,0.1,0.03,0.03,3,54,0.6111111111111112,685,0.017518248175182483,0.8461538461538461,26,0.7857142857142857,14,0.0,14
pilot_holdout,full,0.1,0.03,0.03,4,69,0.37681159420289856,670,0.016417910447761194,0.64,25,0.6153846153846154,13,0.034482758620689655,29
pilot_holdout,full,0.1,0.03,0.03,5,52,0.5192307692307693,687,0.01601164483260553,0.6923076923076923,26,0.6923076923076923,13,0.0,12
pilot_holdout,full,0.1,0.03,0.03,6,51,0.4117647058823529,688,0.014534883720930232,0.46153846153846156,26,0.6153846153846154,13,0.0,11
pilot_holdout,full,0.1,0.03,0.03,7,52,0.40384615384615385,687,0.018922852983988356,0.5,26,0.5714285714285714,14,0.0,12
pilot_holdout,full,0.1,0.03,0.03,8,70,0.35714285714285715,669,0.017937219730941704,0.56,25,0.7692307692307693,13,0.0,30
pilot_holdout,full,0.1,0.03,0.03,9,49,0.7346938775510204,690,0.01884057971014493,0.88,25,0.9285714285714286,14,0.0,9
pilot_holdout,full,0.1,0.03,0.03,10,54,0.4074074074074074,685,0.01897810218978102,0.5,26,0.6428571428571429,14,0.0,14
