dataset,regime,u,f,s,draw,variant,pearson_r,mae,sign_error_rate,rho,p_at_5,p_at_10,ndcg_at_10
pilot_holdout,full,0.0,0.03,0.03,4,documented,0.7806498559773618,0.12038008722349273,0.10998552821997105,0.6086219821120437,0.7362831858407078,0.6212389380530974,0.8678207806029414
pilot_holdout,full,0.0,0.03,0.03,4,aligned,0.7768695486955352,0.12133550287130973,0.11101922679346703,0.603994299893702,0.7292035398230089,0.6115044247787611,0.8657440269117086
pilot_holdout,full,0.0,0.03,0.03,4,hyperplane_old,0.5324289777054187,0.1669880327699613,0.23878437047756873,0.4788113764564207,0.6460176991150443,0.5566371681415929,0.8099400969540925
pilot_holdout,full,0.0,0.03,0.03,5,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,5,documented,0.7383746526039271,0.13074496040706288,0.13603473227206947,0.5827635039219262,0.7309734513274336,0.6079646017699115,0.858350116743728
pilot_holdout,full,0.0,0.03,0.03,5,aligned,0.7375432031498141,0.13115116798435109,0.13727517056026461,0.5785928968025285,0.7150442477876106,0.6044247787610619,0.8579490088223326
pilot_holdout,full,0.0,0.03,0.03,5,hyperplane_old,0.5223707803420843,0.16988808950870207,0.24477982220384537,0.4632824720368316,0.6566371681415929,0.5530973451327433,0.8084584997227321
pilot_holdout,full,0.0,0.03,0.03,6,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,6,documented,0.7516691059995025,0.127125393102981,0.12321686996071946,0.5836766582814441,0.7238938053097345,0.604424778761062,0.8627649641639751
pilot_holdout,full,0.0,0.03,0.03,6,aligned,0.7512797928027283,0.12729133692236885,0.1250775273930122,0.5805503101618797,0.7185840707964603,0.6017699115044248,0.8610893592810376
pilot_holdout,full,0.0,0.03,0.03,6,hyperplane_old,0.5123891798334533,0.16891866986617127,0.24291916477155262,0.47037768373615535,0.6584070796460177,0.5539823008849558,0.810694084142671
pilot_holdout,full,0.0,0.03,0.03,7,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,7,documented,0.7544325160006162,0.12828247854650077,0.13934256770725656,0.5681387816138606,0.7185840707964603,0.607079646017699,0.8577718030961133
pilot_holdout,full,0.0,0.03,0.03,7,aligned,0.7564520469574154,0.12786136204921142,0.1385156088484598,0.5684453325235282,0.7168141592920354,0.6053097345132744,0.8603700769858261
pilot_holdout,full,0.0,0.03,0.03,7,hyperplane_old,0.5477939075107049,0.16496578992357494,0.23072152160430018,0.4794176761495155,0.672566371681416,0.5734513274336284,0.817505615689015
pilot_holdout,full,0.0,0.03,0.03,8,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,8,documented,0.7342076110762245,0.1306823733058599,0.1350010336985735,0.5694774629265418,0.7132743362831858,0.6070796460176991,0.855640894425646
pilot_holdout,full,0.0,0.03,0.03,8,aligned,0.7424048870828686,0.12781923575092496,0.12983254083109366,0.5872748805399172,0.7238938053097346,0.6123893805309735,0.8622597952105308
pilot_holdout,full,0.0,0.03,0.03,8,hyperplane_old,0.5189454815202663,0.16956073253334497,0.24477982220384537,0.4683798935131683,0.6530973451327434,0.5530973451327433,0.8058529387371421
pilot_holdout,full,0.0,0.03,0.03,9,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
